Register;Field;Typ;Accuracy;Unit;Min;Max;Read
0040;AddressMask_General1;U64;;;;;R
0041;;;;;;;
0042;;;;;;;
0043;;;;;;;
0044;Modbus_Protocol_Version;BCD16;;;1,07;99,99;R
0045;COMM_MCU_Code;ASCII;;;;;R
0046;CTRL1_MCU_Code;ASCII;;;;;R
0047;CTRL2_MCU_Code;ASCII;;;;;R
0048;MCU_Code_Rsvd1 -- 10;;;;;;
0049;MCU_Code_Rsvd1 -- 10;;;;;;
004A;MCU_Code_Rsvd1 -- 10;;;;;;
004B;MCU_Code_Rsvd1 -- 10;;;;;;
004C;MCU_Code_Rsvd1 -- 10;;;;;;
004D;MCU_Code_Rsvd1 -- 10;;;;;;
004E;MCU_Code_Rsvd1 -- 10;;;;;;
004F;MCU_Code_Rsvd1 -- 10;;;;;;
0050;MCU_Code_Rsvd1 -- 10;;;;;;
0051;MCU_Code_Rsvd1 -- 10;;;;;;
0052;Protocol_ARM-DSPM;;;;0;0xFFFF;R
0053;Protocol_ARM-DSPS;;;;0;0xFFFF;R
0054;Protocol_DSPM-DSPS;;;;0;0xFFFF;R
0055;Protocol_Version_Rsvd4 -- 20;;;;;;
0056;Protocol_Version_Rsvd4 -- 20;;;;;;
0057;Protocol_Version_Rsvd4 -- 20;;;;;;
0058;Protocol_Version_Rsvd4 -- 20;;;;;;
0059;Protocol_Version_Rsvd4 -- 20;;;;;;
005A;Protocol_Version_Rsvd4 -- 20;;;;;;
005B;Protocol_Version_Rsvd4 -- 20;;;;;;
005C;Protocol_Version_Rsvd4 -- 20;;;;;;
005D;Protocol_Version_Rsvd4 -- 20;;;;;;
005E;Protocol_Version_Rsvd4 -- 20;;;;;;
005F;Protocol_Version_Rsvd4 -- 20;;;;;;
0060;Protocol_Version_Rsvd4 -- 20;;;;;;
0061;Protocol_Version_Rsvd4 -- 20;;;;;;
0062;Protocol_Version_Rsvd4 -- 20;;;;;;
0063;Protocol_Version_Rsvd4 -- 20;;;;;;
0064;Protocol_Version_Rsvd4 -- 20;;;;;;
0065;Protocol_Version_Rsvd4 -- 20;;;;;;
007E;??ID_0 -- 1;;;;;;RW
007F;??ID_0 -- 1;;;;;;RW
0400;AddressMask_Realtime_SysInfo1;U64;;;;;R
0401;;;;;;;
0402;;;;;;;
0403;;;;;;;
0404;SysState;U16;;;;;R
0405;Fault1;U16;;;;;R
0406;Fault2;U16;;;;;R
